key	switch_kc64_pin	diode_kc64_pin
left	17	32
up	19	32
rshift	21	32
right	17	34
down	17	35
space	19	35
enter	18	36
\	20	36
backspace	21	36
pn	16	37
alt	19	37
fn	20	37
0	15	38
-	16	38
/	17	38
'	19	38
;	20	38
[	21	38
p	22	38
=	16	39
]	21	39
8	15	39
,	18	39
k	20	39
I	22	39
9	15	40
.	18	40
l	20	40
o	22	40
7	15	41
6	16	41
n	17	41
m	18	41
h	19	41
j	20	41
y	21	41
u	22	41
4	15	42
5	16	42
b	17	42
v	18	42
g	19	42
f	20	42
t	21	42
r	22	42
3	15	43
c	18	43
d	20	43
e	22	43
2	15	44
lshift	17	44
x	18	44
s	20	44
capslock	21	44
w	22	44
1	15	45
z	18	45
esc	19	45
a	20	45
tab	21	45
q	22	45
lctrl	16	46
rctrl	18	46
win	20	46
low side led switch	3
USB D+	8
USB D-	9
5V	11
GND	7
